################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.5493407986365528E+00 a       366     0    25     1     6
 -8.6443857408163360E+00 a       367     0    25     1     7
  4.9851414810385530E-01 a       368     0    25     1     8
 -3.1843781282408223E+01 a       369     0    25     1     9
  4.5668790642315177E-01 a       370     0    25     1    10
 -1.7907560028346676E+01 a       371     0    25     1    11
  1.0280754653810843E-01 a       372     0    25     1    12
  7.0209239248898898E+00 a       373     0    25     1    13
 -9.9354590654083133E+00 a       374     0    25     1    14
  5.8362159371864015E+00 a       375     0    25     1    15
  8.5354259593682151E+00 a       376     0    26     1     1
 -5.7031719687955040E-01 a       377     0    26     1     2
  3.5332270372226517E+01 a       378     0    26     1     3
  9.4054627240617030E+00 a       379     0    26     1     4
 -2.9607272192361776E+01 a       380     0    26     1     5
 -4.7897287881050348E+00 a       381     0    26     1     6
  3.0231161948642562E+00 a       382     0    26     1     7
 -1.3714312907183271E-01 a       383     0    26     1     8
 -1.8881751754783739E+01 a       384     0    26     1     9
  4.1282935557937943E+00 a       385     0    26     1    10
 -3.0614268291732117E+01 a       386     0    26     1    11
 -1.6929968885634587E+01 a       387     0    26     1    12
 -7.8467959484988059E+00 a       388     0    26     1    13
 -2.1136992449658378E+00 a       389     0    26     1    14
  1.1390899508797157E+01 a       390     0    26     1    15
  3.5029974150007588E+00 a       391     0    27     1     1
 -3.3678389054836844E+00 a       392     0    27     1     2
  3.6754717847120261E+01 a       393     0    27     1     3
 -6.1033653191938042E-01 a       394     0    27     1     4
 -4.3652199958161795E+01 a       395     0    27     1     5
  5.0911891665695563E-01 a       396     0    27     1     6
  2.0705032669322927E+00 a       397     0    27     1     7
 -2.0074202965635646E-01 a       398     0    27     1     8
 -6.1880916816540976E+00 a       399     0    27     1     9
  1.9675203881676304E+00 a       400     0    27     1    10
 -2.6029723184259794E+01 a       401     0    27     1    11
  3.2822635723607507E+00 a       402     0    27     1    12
 -2.2336520000008546E+00 a       403     0    27     1    13
  3.2384546455216223E-01 a       404     0    27     1    14
  1.1289036632925525E+01 a       405     0    27     1    15
  1.8466798965074933E+01 a       406     0    28     1     1
 -1.3672046522868317E+01 a       407     0    28     1     2
  9.4346693279961453E+00 a       408     0    28     1     3
  1.8332079957974845E+01 a       409     0    28     1     4
 -4.3288295259277788E+01 a       410     0    28     1     5
  1.4587564858275845E+00 a       411     0    28     1     6
  7.8998932980878145E-01 a       412     0    28     1     7
  7.4967233473555250E+00 a       413     0    28     1     8
  7.2281073637827200E+00 a       414     0    28     1     9
 -6.4247360996577898E+00 a       415     0    28     1    10
  2.2716352114995185E+01 a       416     0    28     1    11
  2.0026327419824007E+01 a       417     0    28     1    12
  3.1625128041845574E+01 a       418     0    28     1    13
  7.7779708435834873E+00 a       419     0    28     1    14
  2.1921176813713203E+01 a       420     0    28     1    15
 -1.2801010004939737E+01 a       421     0    29     1     1
 -7.0373104815171938E+00 a       422     0    29     1     2
 -2.1833015207634912E+00 a       423     0    29     1     3
  1.5370185785661898E+00 a       424     0    29     1     4
